Sport;Season;Type of Competition;Venue;Equipment;Skill;Environment/Terrain;Scoring Method
Acrobatic Gymnastics;Summer;Artistic;Indoor;Sport specific clothing;Balance/Strength/Synchronization/Tricks;Ground;Judges' Scores
Alpine Skiing;Winter;Racing;Outdoor;Skis;Speed/Precision/Agility/Endurance;Snow;Time
Archery;Summer;Target;Indoor/Outdoor;Bow;Precision/Accuracy/Coordination/Strategy;Ground;Points
Artistic Gymnastics;Summer;Artistic;Indoor;None;Balance/Synchronization/Precision/Tricks;Ground;Judges' Scores
Artistic Swimming;Summer;Artistic;Indoor;None;Synchronization/Endurance/Precision/Dance;Water;Judges' Scores
Athletics;Summer;Racing/Jumping/Throwing/Multi-discipline;Outdoor;Shot/Discus/Javelin/Hammer;Speed/Strength/Endurance/Precision;Ground;Time/Distance/Points/Height
Badminton;Summer;Racquet;Indoor;Racquet;Speed/Agility/Precision/Strategy;Ground;Points
Baseball Softball;Summer;Ball;Outdoor;Ball/Bat;Hitting/Throwing/Strategy/Teamwork;Ground;Runs
Basketball;Summer;Ball;Indoor;Basketball;Speed/Agility/Throwing/Teamwork;Ground;Points
Basketball 3x3;Summer;Ball;Indoor/Outdoor;Basketball;Speed/Agility/Throwing/Teamwork;Ground;Points
Beach Handball;Summer;Ball;Outdoor;Handball;Speed/Agility/Throwing/Teamwork;Sand;Points
Beach Volleyball;Summer;Ball;Outdoor;Volleyball;Speed/Precision/Hitting/Teamwork;Sand;Points
Biathlon;Winter;Multi-discipline;Outdoor;Skis/Rifle;Endurance/Precision/Shooting/Skiing Skills;Snow;Time/Targets
Bobsleigh;Winter;Racing;Outdoor;Bobsleigh;Speed/Strength/Coordination/Precision;Ice;Time
Boxing;Summer;Combat;Indoor;Gloves;Speed/Strength/Precision/Coordination;Ground;Judges' Scores/KO
Breaking;Summer;Dance;Indoor;None;Agility/Strength/Tricks/Dance;Ground;Judges' Scores
Canoe Slalom;Summer;Racing;Outdoor;Canoe;Precision/Paddling/Agility/Coordination;Water;Time
Canoe Sprint;Summer;Racing;Outdoor;Canoe;Speed/Paddling/Endurance/Strength;Water;Time
Cricket;Summer;Ball;Outdoor;Ball/Bat;Throwing/Precision/Strategy/Teamwork;Ground;Runs
Cross-Country Skiing;Winter;Racing;Outdoor;Skis;Endurance/Speed/Strength/Skiing Skills;Snow;Time
Curling;Winter;Target;Indoor;Stones/Brooms;Precision/Strategy/Coordination/Teamwork;Ice;Points
Cycling BMX Freestyle;Summer;Artistic;Indoor/Outdoor;BMX Bike;Tricks/Precision/Agility/Coordination;Ground;Judges' Scores
Cycling BMX Racing;Summer;Racing;Outdoor;BMX Bike;Speed/Agility/Strength/Coordination;Ground;Time
